timestamp,RED,IR,GREEN
1772597775.838000,757615.000000,1153781.000000,-10529.000000
1772597775.878000,757672.000000,1153955.000000,-10165.000000
1772597775.918000,757603.000000,1153967.000000,-9783.000000
1772597775.958000,757555.000000,1154069.000000,-9277.000000
1772597775.998000,757610.000000,1154170.000000,-8744.000000
1772597776.038000,757631.000000,1154277.000000,-8246.000000
1772597776.078000,757667.000000,1154389.000000,-7715.000000
1772597776.118000,757765.000000,1154577.000000,-7089.000000
1772597776.158000,757724.000000,1154657.000000,-6369.000000
1772597776.198000,757472.000000,1154047.000000,-6316.000000
1772597776.238000,757160.000000,1153479.000000,-7425.000000
1772597776.278000,757062.000000,1153164.000000,-8972.000000
1772597776.318000,757034.000000,1153108.000000,-10193.000000
1772597776.358000,757050.000000,1153104.000000,-11243.000000
1772597776.398000,756956.000000,1152938.000000,-12015.000000
1772597776.438000,756847.000000,1152921.000000,-12571.000000
1772597776.478000,756813.000000,1152915.000000,-12911.000000
1772597776.518000,756675.000000,1152703.000000,-13259.000000
1772597776.558000,756480.000000,1152486.000000,-13631.000000
1772597776.598000,756289.000000,1152174.000000,-14014.000000
1772597776.638000,756242.000000,1152209.000000,-14204.000000
1772597776.678000,756343.000000,1152423.000000,-14168.000000
1772597776.718000,756299.000000,1152466.000000,-13927.000000
1772597776.758000,756288.000000,1152468.000000,-13691.000000
1772597776.798000,756226.000000,1152471.000000,-13309.000000
1772597776.838000,756142.000000,1152398.000000,-12917.000000
1772597776.878000,756162.000000,1152451.000000,-12544.000000
1772597776.918000,756127.000000,1152433.000000,-12187.000000
1772597776.958000,756088.000000,1152441.000000,-11595.000000
1772597776.998000,756007.000000,1152366.000000,-11054.000000
1772597777.038000,755906.000000,1152349.000000,-10484.000000
1772597777.078000,755949.000000,1152354.000000,-9817.000000
1772597777.118000,755847.000000,1152483.000000,-9166.000000
1772597777.158000,755866.000000,1152374.000000,-8591.000000
1772597777.198000,755431.000000,1151559.000000,-9130.000000
1772597777.238000,755244.000000,1151001.000000,-10406.000000
1772597777.278000,755165.000000,1150869.000000,-11654.000000
1772597777.318000,755161.000000,1150735.000000,-12618.000000
1772597777.358000,755123.000000,1150757.000000,-13874.000000
1772597777.398000,755194.000000,1150879.000000,-14152.000000
1772597777.438000,755130.000000,1150783.000000,-14307.000000
1772597777.478000,754989.000000,1150687.000000,-14643.000000
1772597777.518000,754978.000000,1150640.000000,-14936.000000
1772597777.558000,755019.000000,1150652.000000,-15148.000000
1772597777.598000,755088.000000,1150847.000000,-15101.000000
1772597777.638000,755255.000000,1151179.000000,-14891.000000
1772597777.678000,755659.000000,1151655.000000,-14573.000000
1772597777.718000,756027.000000,1152235.000000,-14220.000000
1772597777.758000,756527.000000,1153208.000000,-13763.000000
1772597777.798000,757247.000000,1154040.000000,-13115.000000
1772597777.838000,757502.000000,1154563.000000,-12534.000000
1772597777.878000,757685.000000,1154794.000000,-11887.000000
1772597777.918000,758009.000000,1155261.000000,-11232.000000
1772597777.958000,758264.000000,1155711.000000,-10509.000000
1772597777.998000,758322.000000,1155834.000000,-9750.000000
1772597778.038000,758201.000000,1155678.000000,-9276.000000
1772597778.078000,757895.000000,1155001.000000,-9894.000000
1772597778.118000,757799.000000,1154704.000000,-11078.000000
1772597778.158000,758052.000000,1155029.000000,-12103.000000
1772597778.198000,758401.000000,1155425.000000,-12785.000000
1772597778.238000,758435.000000,1155561.000000,-13249.000000
1772597778.278000,758559.000000,1155568.000000,-13487.000000
1772597778.318000,758950.000000,1155873.000000,-13445.000000
1772597778.358000,758682.000000,1155353.000000,-13604.000000
1772597778.398000,758059.000000,1154524.000000,-13842.000000
1772597778.438000,757960.000000,1154197.000000,-14186.000000
1772597778.478000,758171.000000,1154683.000000,-14179.000000
1772597778.518000,758568.000000,1155245.000000,-14107.000000
1772597778.558000,758680.000000,1155709.000000,-13797.000000
1772597778.598000,758666.000000,1155633.000000,-13507.000000
1772597778.638000,758289.000000,1155301.000000,-13041.000000
1772597778.678000,757971.000000,1155023.000000,-12642.000000
1772597778.718000,757690.000000,1154793.000000,-12262.000000
1772597778.758000,757517.000000,1154697.000000,-11827.000000
1772597778.798000,757409.000000,1154667.000000,-11439.000000
1772597778.838000,757533.000000,1154947.000000,-10946.000000
1772597778.878000,757499.000000,1155067.000000,-10372.000000
1772597778.918000,757227.000000,1154881.000000,-9724.000000
1772597778.958000,757001.000000,1154288.000000,-9577.000000
1772597778.998000,756755.000000,1153548.000000,-10392.000000
1772597779.038000,756606.000000,1153132.000000,-11732.000000
1772597779.078000,756535.000000,1153080.000000,-12964.000000
1772597779.118000,756451.000000,1153012.000000,-13857.000000
1772597779.158000,756402.000000,1153018.000000,-14509.000000
1772597779.198000,756390.000000,1152926.000000,-14965.000000
1772597779.238000,756457.000000,1153075.000000,-15220.000000
1772597779.278000,756458.000000,1153129.000000,-15473.000000
1772597779.318000,756518.000000,1153190.000000,-15781.000000
1772597779.358000,756531.000000,1153285.000000,-16051.000000
1772597779.398000,756652.000000,1153308.000000,-16232.000000
1772597779.438000,756699.000000,1153561.000000,-16132.000000
1772597779.478000,756753.000000,1153697.000000,-15897.000000
1772597779.518000,756897.000000,1154026.000000,-15630.000000
1772597779.558000,757052.000000,1154122.000000,-15356.000000
